,,Year 1,,Year 2,,,
Revenue,,,,,,,
,ARR,,"392,519$",,"1,952,807$",,"Note: To edit the numbers, first make a copy of this sheet (File > Make a copy)."
,,,,,,,
Costs,,,,,,,Made by Gary Gaspar
,Costs of Good Sold,7.59%,"29,776$",3.92%,"76,584$",,https://marker.io
,Sales & Marketing,6.06%,"$23,775.56",3.61%,"$70,584.21",,
,Research & Development,70.32%,"$276,000",20.28%,"$396,000",,
,General & Administrative,42.39%,"$166,404",8.52%,"$166,404",,
,,,,,,,
EBIT,,,"-103,437$",,"1,243,235$",,
,,,,,,,
,,,,,,,
Cash needed to cover costs,,,,,"-$132,357.34",,
